
==================================================
Loading embedding model: sentence-transformers/use-cmlm-multilingual...

Embedding Similarity Benchmark Results (Model: sentence-transformers/use-cmlm-multilingual):

| ZhiWen File   | Equivalent File   |   Cosine Similarity |
| sim_0786.zw   | sim_0786.json     |              0.819  |
| sim_0233.zw   | sim_0233.json     |              0.8647 |
| sim_0203.zw   | sim_0203.json     |              0.7578 |
| sim_0185.zw   | sim_0185.json     |              0.862  |
| sim_0407.zw   | sim_0407.json     |              0.8386 |
| sim_0867.zw   | sim_0867.json     |              0.7618 |
| sim_0863.zw   | sim_0863.json     |              0.8435 |
| sim_0470.zw   | sim_0470.json     |              0.8212 |
| sim_0095.zw   | sim_0095.json     |              0.8048 |
| sim_0818.zw   | sim_0818.json     |              0.8104 |
| sim_0859.zw   | sim_0859.json     |              0.8454 |
| sim_0201.zw   | sim_0201.json     |              0.8092 |
| sim_0437.zw   | sim_0437.json     |              0.8531 |
| sim_0476.zw   | sim_0476.json     |              0.8541 |
| sim_0916.zw   | sim_0916.json     |              0.7476 |
| sim_0790.zw   | sim_0790.json     |              0.7675 |
| sim_0136.zw   | sim_0136.json     |              0.8341 |
| sim_0913.zw   | sim_0913.json     |              0.754  |
| sim_0270.zw   | sim_0270.json     |              0.8413 |
| sim_0102.zw   | sim_0102.json     |              0.8448 |
| sim_0457.zw   | sim_0457.json     |              0.759  |
| sim_0458.zw   | sim_0458.json     |              0.8146 |
| sim_0305.zw   | sim_0305.json     |              0.7655 |
| sim_0978.zw   | sim_0978.json     |              0.8796 |
| sim_0869.zw   | sim_0869.json     |              0.8058 |
| sim_0154.zw   | sim_0154.json     |              0.7563 |
| sim_0394.zw   | sim_0394.json     |              0.7774 |
| sim_0275.zw   | sim_0275.json     |              0.8136 |
| sim_0312.zw   | sim_0312.json     |              0.8205 |
| sim_0836.zw   | sim_0836.json     |              0.8284 |
| sim_0490.zw   | sim_0490.json     |              0.8514 |
| sim_0510.zw   | sim_0510.json     |              0.7347 |
| sim_0091.zw   | sim_0091.json     |              0.8575 |
| sim_0315.zw   | sim_0315.json     |              0.8278 |
| sim_0197.zw   | sim_0197.json     |              0.8269 |
| sim_0540.zw   | sim_0540.json     |              0.8418 |
| sim_0708.zw   | sim_0708.json     |              0.8465 |
| sim_0493.zw   | sim_0493.json     |              0.8482 |
| sim_0322.zw   | sim_0322.json     |              0.7521 |
| sim_0266.zw   | sim_0266.json     |              0.824  |
| sim_0649.zw   | sim_0649.json     |              0.7605 |
| sim_0085.zw   | sim_0085.json     |              0.8414 |
| sim_0751.zw   | sim_0751.json     |              0.8044 |
| sim_0952.zw   | sim_0952.json     |              0.8398 |
| sim_0098.zw   | sim_0098.json     |              0.88   |
| sim_0918.zw   | sim_0918.json     |              0.853  |
| sim_0277.zw   | sim_0277.json     |              0.8785 |
| sim_0474.zw   | sim_0474.json     |              0.7677 |
| sim_0345.zw   | sim_0345.json     |              0.843  |
| sim_0974.zw   | sim_0974.json     |              0.7615 |
| sim_0737.zw   | sim_0737.json     |              0.8541 |
| sim_0535.zw   | sim_0535.json     |              0.862  |
| sim_0876.zw   | sim_0876.json     |              0.8528 |
| sim_0124.zw   | sim_0124.json     |              0.8313 |
| sim_0606.zw   | sim_0606.json     |              0.8356 |
| sim_0651.zw   | sim_0651.json     |              0.7589 |
| sim_0382.zw   | sim_0382.json     |              0.7958 |
| sim_0186.zw   | sim_0186.json     |              0.7864 |
| sim_0679.zw   | sim_0679.json     |              0.857  |
| sim_0009.zw   | sim_0009.json     |              0.7834 |
| sim_0661.zw   | sim_0661.json     |              0.7615 |
| sim_0647.zw   | sim_0647.json     |              0.7749 |
| sim_0027.zw   | sim_0027.json     |              0.8303 |
| sim_0646.zw   | sim_0646.json     |              0.8586 |
| sim_0823.zw   | sim_0823.json     |              0.8333 |
| sim_0222.zw   | sim_0222.json     |              0.8604 |
| sim_0245.zw   | sim_0245.json     |              0.7376 |
| sim_0507.zw   | sim_0507.json     |              0.7644 |
| sim_0660.zw   | sim_0660.json     |              0.8449 |
| sim_0812.zw   | sim_0812.json     |              0.8639 |
| sim_0924.zw   | sim_0924.json     |              0.7724 |
| sim_0022.zw   | sim_0022.json     |              0.8461 |
| sim_0749.zw   | sim_0749.json     |              0.7942 |
| sim_0520.zw   | sim_0520.json     |              0.8283 |
| sim_0425.zw   | sim_0425.json     |              0.781  |
| sim_0024.zw   | sim_0024.json     |              0.8694 |
| sim_0160.zw   | sim_0160.json     |              0.851  |
| sim_0555.zw   | sim_0555.json     |              0.8418 |
| sim_0454.zw   | sim_0454.json     |              0.7874 |
| sim_0670.zw   | sim_0670.json     |              0.7555 |
| sim_0677.zw   | sim_0677.json     |              0.8342 |
| sim_0963.zw   | sim_0963.json     |              0.7855 |
| sim_0436.zw   | sim_0436.json     |              0.805  |
| sim_0054.zw   | sim_0054.json     |              0.7673 |
| sim_0573.zw   | sim_0573.json     |              0.8058 |
| sim_0384.zw   | sim_0384.json     |              0.8315 |
| sim_0721.zw   | sim_0721.json     |              0.774  |
| sim_0706.zw   | sim_0706.json     |              0.852  |
| sim_0402.zw   | sim_0402.json     |              0.8382 |
| sim_0308.zw   | sim_0308.json     |              0.7656 |
| sim_0548.zw   | sim_0548.json     |              0.7773 |
| sim_0097.zw   | sim_0097.json     |              0.7526 |
| sim_0423.zw   | sim_0423.json     |              0.8053 |
| sim_0696.zw   | sim_0696.json     |              0.7545 |
| sim_0005.zw   | sim_0005.json     |              0.8655 |
| sim_0609.zw   | sim_0609.json     |              0.8266 |
| sim_0744.zw   | sim_0744.json     |              0.8548 |
| sim_0257.zw   | sim_0257.json     |              0.8119 |
| sim_0868.zw   | sim_0868.json     |              0.7202 |
| sim_0191.zw   | sim_0191.json     |              0.7596 |
| sim_0242.zw   | sim_0242.json     |              0.8447 |
| sim_0438.zw   | sim_0438.json     |              0.8357 |
| sim_0519.zw   | sim_0519.json     |              0.8009 |
| sim_0734.zw   | sim_0734.json     |              0.7782 |
| sim_0837.zw   | sim_0837.json     |              0.8765 |
| sim_0328.zw   | sim_0328.json     |              0.7917 |
| sim_0224.zw   | sim_0224.json     |              0.8174 |
| sim_0467.zw   | sim_0467.json     |              0.8448 |
| sim_0390.zw   | sim_0390.json     |              0.8158 |
| sim_0210.zw   | sim_0210.json     |              0.8595 |
| sim_0601.zw   | sim_0601.json     |              0.7501 |
| sim_0221.zw   | sim_0221.json     |              0.8087 |
| sim_0071.zw   | sim_0071.json     |              0.8633 |
| sim_0347.zw   | sim_0347.json     |              0.8492 |
| sim_0007.zw   | sim_0007.json     |              0.8215 |
| sim_0259.zw   | sim_0259.json     |              0.7822 |
| sim_0880.zw   | sim_0880.json     |              0.7831 |
| sim_0170.zw   | sim_0170.json     |              0.7765 |
| sim_0992.zw   | sim_0992.json     |              0.8088 |
| sim_0261.zw   | sim_0261.json     |              0.7904 |
| sim_0262.zw   | sim_0262.json     |              0.8613 |
| sim_0508.zw   | sim_0508.json     |              0.7943 |
| sim_0323.zw   | sim_0323.json     |              0.8116 |
| sim_0138.zw   | sim_0138.json     |              0.8546 |
| sim_0629.zw   | sim_0629.json     |              0.7584 |
| sim_0047.zw   | sim_0047.json     |              0.7439 |
| sim_0414.zw   | sim_0414.json     |              0.8347 |
| sim_0664.zw   | sim_0664.json     |              0.7375 |
| sim_0962.zw   | sim_0962.json     |              0.8339 |
| sim_0104.zw   | sim_0104.json     |              0.8597 |
| sim_0533.zw   | sim_0533.json     |              0.779  |
| sim_0614.zw   | sim_0614.json     |              0.7943 |
| sim_0497.zw   | sim_0497.json     |              0.7576 |
| sim_0238.zw   | sim_0238.json     |              0.8462 |
| sim_0159.zw   | sim_0159.json     |              0.8188 |
| sim_0352.zw   | sim_0352.json     |              0.8082 |
| sim_0917.zw   | sim_0917.json     |              0.7921 |
| sim_0026.zw   | sim_0026.json     |              0.7955 |
| sim_0418.zw   | sim_0418.json     |              0.8192 |
| sim_0777.zw   | sim_0777.json     |              0.8437 |
| sim_0757.zw   | sim_0757.json     |              0.8558 |
| sim_0820.zw   | sim_0820.json     |              0.829  |
| sim_0140.zw   | sim_0140.json     |              0.7647 |
| sim_0505.zw   | sim_0505.json     |              0.752  |
| sim_0911.zw   | sim_0911.json     |              0.7908 |
| sim_0588.zw   | sim_0588.json     |              0.8577 |
| sim_0388.zw   | sim_0388.json     |              0.8252 |
| sim_0767.zw   | sim_0767.json     |              0.8534 |
| sim_0225.zw   | sim_0225.json     |              0.8334 |
| sim_0406.zw   | sim_0406.json     |              0.8549 |
| sim_0958.zw   | sim_0958.json     |              0.8175 |
| sim_0337.zw   | sim_0337.json     |              0.7697 |
| sim_0851.zw   | sim_0851.json     |              0.746  |
| sim_0879.zw   | sim_0879.json     |              0.8257 |
| sim_0652.zw   | sim_0652.json     |              0.8448 |
| sim_0177.zw   | sim_0177.json     |              0.7709 |
| sim_0694.zw   | sim_0694.json     |              0.8522 |
